sid,lat,lon,org
9E65F90C537C,23.708619,120.42707,MAPS
9E65F90C5039,25.031965,121.530524,MAPS
9E65F90C3F41,23.7509,120.2513,MAPS
9E65F90B2B22,24.143985,120.48396,MAPS
9E65F90C5389,23.7306,120.3962,MAPS
9E65F90B2B15-3,24.790469,120.996137,MAPS
9E65F90C503E,25.743596,123.471476,MAPS
9E65F90B2B15-5,24.790369,120.996137,MAPS
4000516,25.019722,121.548889,MAPS
9E65F90C5386,33.650899,-117.836648,MAPS
9E65F90B2B15-A,24.790269,120.996137,MAPS
9E65F90B292B,23.798683,120.451123,MAPS
9E65F90C3F64,23.535119,120.437713,MAPS
9E65F90C3F68,25.0409,121.6144,MAPS
9E65F90C3F72,25.743596,123.471476,MAPS
9E65F90C5638,25.743596,123.471476,MAPS
9E65F90C3F6F,23.769711,120.293015,MAPS
9E65F90C53C3,23.892214,120.461385,MAPS
040005ff,25.019722,121.548889,MAPS
9E65F90B8433,23.7033827,120.4313684,MAPS
9E65F90C3F32,23.4643,120.2457,MAPS
9E65F90B249D,23.8116,120.6256,MAPS
9E65F90B26D7,23.576634,120.299634,MAPS
9E65F90B287C-3,24.790469,120.996237,MAPS
9E65F90B287C-5,24.790369,120.996237,MAPS
9E65F90C3F3D,25.743596,123.471476,MAPS
9E65F90B287C-A,24.790269,120.996237,MAPS
9E65F90B278E,25.743596,123.471476,MAPS
040004cb,25.019722,121.548889,MAPS
9E65F90B244F,25.743596,123.471476,MAPS
9E65F90C5622,23.5825,120.3003,MAPS
9E65F90C49BD,23.760216,120.612909,MAPS
4000413,25.019722,121.548889,MAPS
9E65F90C537D,23.958526,120.68083,MAPS
9E65F90C5378,23.622287,120.242942,MAPS
9E65F90B2945,23.7067,120.3175,MAPS
9E65F90C53DF,23.725241,120.211557,MAPS
9E65F90C5382,23.7086674,120.5204741,MAPS
9E65F90B28B6,23.899734,121.545144,MAPS
9E65F90C53B3,23.963654,120.344151,MAPS
9E65F90C53AD,23.5716,120.2478,MAPS
9E65F90B29E0,23.7235,120.2102,MAPS
9E65F90C3F74,23.599711,120.604004,MAPS
9E65F90C53D6,23.496025,120.364714,MAPS
9E65F90C53C6,24.7878,120.9956,MAPS
9E65F90C53A6,25.0578,121.6089,MAPS
9E65F90C5620,25.743596,123.471476,MAPS
9E65F90C563D,25.058319,121.608488,MAPS
9E65F90C5620,25.058774,121.609081,MAPS
9E65F90B2AF5,23.619,120.1526,MAPS
FT3_0001,24.7805647,120.9933177,LASS
WF_14087554,24.384309,120.61478,LASS
NUK_H1-207_inside,22.735216,120.28146,LASS
FT1_092,23.668659,120.178456,LASS
FT1_406,25.086269,121.591402,LASS
FT1_399,24.0635166667,120.534423333,LASS
HSZ_30841,24.765527,120.990695,LASS
FT_CDPS,22.3627466667,120.6001,LASS
LASS-PI_043,23,120,LASS
FT1_0446D,24.2486,120.7281,LASS
LASS-PI_025,24.050689,120.5523,LASS
HRY_7688,24.2644227,120.6565419,LASS
FT1_115,23.457,120.441736667,LASS
WF_14011622,25.043403,121.55729,LASS
FT1_966,24.17546,120.668678333,LASS
FT1_398,24.1239566667,120.63217,LASS
